### Module positions - created on Thu Jul  1 22:41:35 2021 ###
### Printed by Pcbnew version kicad 5.1.9+dfsg1-1
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val                                    Package                                                            PosX       PosY       Rot  Side
UC3       2116                                   DIP-16_W7.62mm                                                   5.3000    -7.8000   90.0000  top
UC4       2116                                   DIP-16_W7.62mm                                                   5.3000    -8.3500   90.0000  top
UC5       2116                                   DIP-16_W7.62mm                                                   5.3000    -8.9000   90.0000  top
UC6       2116                                   DIP-16_W7.62mm                                                   5.3000    -9.4500   90.0000  top
UC7       2116                                   DIP-16_W7.62mm                                                   5.3000   -10.0000   90.0000  top
UC8       2116                                   DIP-16_W7.62mm                                                   5.3000   -10.5500   90.0000  top
UC9       2116                                   DIP-16_W7.62mm                                                   5.3000   -11.1000   90.0000  top
UC10      2116                                   DIP-16_W7.62mm                                                   5.3000   -11.6500   90.0000  top
UC11      74LS04                                 DIP-14_W7.62mm                                                   5.3000   -12.2000   90.0000  top
UC12      74LS257                                DIP-16_W7.62mm                                                   5.3000   -12.7500   90.0000  top
UC13      74LS51                                 DIP-14_W7.62mm                                                   5.3000   -13.3000   90.0000  top
UC14      74LS32                                 DIP-14_W7.62mm                                                   5.3000   -13.8500   90.0000  top
UD2       74LS20                                 DIP-14_W7.62mm                                                   6.8000    -7.2500   90.0000  top
UD3       2116                                   DIP-16_W7.62mm                                                   6.8000    -7.8000   90.0000  top
UD4       2116                                   DIP-16_W7.62mm                                                   6.8000    -8.3500   90.0000  top
UD5       2116                                   DIP-16_W7.62mm                                                   6.8000    -8.9000   90.0000  top
UD6       2116                                   DIP-16_W7.62mm                                                   6.8000    -9.4500   90.0000  top
UD7       2116                                   DIP-16_W7.62mm                                                   6.8000   -10.0000   90.0000  top
UD8       2116                                   DIP-16_W7.62mm                                                   6.8000   -10.5500   90.0000  top
UD9       2116                                   DIP-16_W7.62mm                                                   6.8000   -11.1000   90.0000  top
UD11      74LS161                                DIP-16_W7.62mm                                                   6.8000   -12.2000   90.0000  top
UD12      74LS161                                DIP-16_W7.62mm                                                   6.8000   -12.7500   90.0000  top
UD13      74LS161                                DIP-16_W7.62mm                                                   6.8000   -13.3000   90.0000  top
UD14      74LS161                                DIP-16_W7.62mm                                                   6.8000   -13.8500   90.0000  top
UE2       74LS02                                 DIP-14_W7.62mm                                                   8.3000    -7.2500   90.0000  top
UE3       2116                                   DIP-16_W7.62mm                                                   8.3000    -7.8000   90.0000  top
UE4       2116                                   DIP-16_W7.62mm                                                   8.3000    -8.3500   90.0000  top
UE5       2116                                   DIP-16_W7.62mm                                                   8.3000    -8.9000   90.0000  top
UE6       2116                                   DIP-16_W7.62mm                                                   8.3000    -9.4500   90.0000  top
UE7       2116                                   DIP-16_W7.62mm                                                   8.3000   -10.0000   90.0000  top
UE8       2116                                   DIP-16_W7.62mm                                                   8.3000   -10.5500   90.0000  top
UE9       2116                                   DIP-16_W7.62mm                                                   8.3000   -11.1000   90.0000  top
UE10      2116                                   DIP-16_W7.62mm                                                   8.3000   -11.6500   90.0000  top
UE11      74LS153                                DIP-16_W7.62mm                                                   8.3000   -12.2000   90.0000  top
UE12      74LS153                                DIP-16_W7.62mm                                                   8.3000   -12.7500   90.0000  top
UE13      74LS153                                DIP-16_W7.62mm                                                   8.3000   -13.3000   90.0000  top
UE14      74LS283                                DIP-16_W7.62mm                                                   8.3000   -13.8500   90.0000  top
UF2       74LS139                                DIP-16_W7.62mm                                                   9.8000    -7.2500   90.0000  top
UF12      74LS138                                DIP-16_W7.62mm                                                   9.8000   -12.7500   90.0000  top
UF13      74LS138                                DIP-16_W7.62mm                                                   9.8000   -13.3000   90.0000  top
UF14      74LS259                                DIP-16_W7.62mm                                                   9.8000   -13.8500   90.0000  top
UG1       74LS08                                 DIP-14_W7.62mm                                                  11.3000    -6.7000   90.0000  top
UG2       74LS138                                DIP-16_W7.62mm                                                  11.3000    -7.2500   90.0000  top
UG3       8T28                                   DIP-16_W7.62mm                                                  11.3000    -7.8000   90.0000  top
UG4       8T28                                   DIP-16_W7.62mm                                                  11.3000    -8.3500   90.0000  top
UG12      74LS138                                DIP-16_W7.62mm                                                  11.3000   -12.7500   90.0000  top
UG13      NE558                                  DIP-16_W7.62mm                                                  11.3000   -13.3000   90.0000  top
UG14      74LS251                                DIP-16_W7.62mm                                                  11.3000   -13.8500   90.0000  top
UH1       74LS257                                DIP-16_W7.62mm                                                  12.8000    -6.7000   90.0000  top
UH7       WD65C02                                DIP-40_W15.24mm                                                 12.0500   -11.1000  180.0000  top
UJ13      74LS74                                 DIP-14_W7.62mm                                                  13.4000   -13.3000   90.0000  top
UJ14      GAMECNTL                               DIP-16_W7.62mm                                                  12.4000   -13.8500   90.0000  top
UK13      LM741                                  DIP-8_W7.62mm                                                   14.4000   -13.3000   90.0000  top
UM3       74LS367                                DIP-16_W7.62mm                                                  11.3000    -8.9000   90.0000  top
UM4       74LS367                                DIP-16_W7.62mm                                                  11.3000   -11.6500   90.0000  top
UM5       74LS367                                DIP-16_W7.62mm                                                  11.3000   -12.2000   90.0000  top
URD0      2716                                   DIP-24_W15.24mm                                                  9.8000    -8.0000   90.0000  top
URD8      2716                                   DIP-24_W15.24mm                                                  9.8000    -8.8000   90.0000  top
URE0      2716                                   DIP-24_W15.24mm                                                  9.8000    -9.6000   90.0000  top
URE8      2716                                   DIP-24_W15.24mm                                                  9.8000   -10.4000   90.0000  top
URF0      2716                                   DIP-24_W15.24mm                                                  9.8000   -11.2000   90.0000  top
URF8      2716                                   DIP-24_W15.24mm                                                  9.8000   -12.0000   90.0000  top
X1        CXO_DIP14                              Oscillator_DIP-14                                                2.3200    -6.6000    0.0000  top
## End
